ImageType,FileName,RunID,FilePath
IntensityWithoutOverlay,TXY_Y,1,1,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000013.tif
RangeWithoutOverlay,TXY_Y,1,1,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000013.tif
IntensityWithoutOverlay,TXY_Y,1,2,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000014.tif
RangeWithoutOverlay,TXY_Y,1,2,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000014.tif
IntensityWithoutOverlay,TXY_Y,1,3,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000015.tif
RangeWithoutOverlay,TXY_Y,1,3,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000015.tif
IntensityWithoutOverlay,TXY_Y,1,4,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000016.tif
RangeWithoutOverlay,TXY_Y,1,4,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000016.tif
IntensityWithoutOverlay,TXY_Y,1,5,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000017.tif
RangeWithoutOverlay,TXY_Y,1,5,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000017.tif
IntensityWithoutOverlay,TXY_Y,1,6,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000018.tif
RangeWithoutOverlay,TXY_Y,1,6,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000018.tif
IntensityWithoutOverlay,TXY_Y,1,7,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000019.tif
RangeWithoutOverlay,TXY_Y,1,7,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000019.tif
IntensityWithoutOverlay,TXY_Y,1,8,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000020.tif
RangeWithoutOverlay,TXY_Y,1,8,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000020.tif
IntensityWithoutOverlay,TXY_Y,1,9,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000021.tif
RangeWithoutOverlay,TXY_Y,1,9,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000021.tif
IntensityWithoutOverlay,TXY_Y,1,10,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000022.tif
RangeWithoutOverlay,TXY_Y,1,10,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000022.tif
IntensityWithoutOverlay,TXY_Y,1,11,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000023.tif
RangeWithoutOverlay,TXY_Y,1,11,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000023.tif
IntensityWithoutOverlay,TXY_Y,1,12,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000024.tif
RangeWithoutOverlay,TXY_Y,1,12,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000024.tif
IntensityWithoutOverlay,TXY_Y,1,13,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000025.tif
RangeWithoutOverlay,TXY_Y,1,13,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000025.tif
IntensityWithoutOverlay,TXY_Y,1,14,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000026.tif
RangeWithoutOverlay,TXY_Y,1,14,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000026.tif
IntensityWithoutOverlay,TXY_Y,1,15,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000027.tif
RangeWithoutOverlay,TXY_Y,1,15,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000027.tif
IntensityWithoutOverlay,TXY_Y,1,16,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000028.tif
RangeWithoutOverlay,TXY_Y,1,16,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000028.tif
IntensityWithoutOverlay,TXY_Y,1,17,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000029.tif
RangeWithoutOverlay,TXY_Y,1,17,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000029.tif
IntensityWithoutOverlay,TXY_Y,1,18,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000030.tif
RangeWithoutOverlay,TXY_Y,1,18,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000030.tif
IntensityWithoutOverlay,TXY_Y,1,19,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000031.tif
RangeWithoutOverlay,TXY_Y,1,19,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000031.tif
IntensityWithoutOverlay,TXY_Y,1,20,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000032.tif
RangeWithoutOverlay,TXY_Y,1,20,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000032.tif
IntensityWithoutOverlay,TXY_Y,1,21,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000033.tif
RangeWithoutOverlay,TXY_Y,1,21,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000033.tif
IntensityWithoutOverlay,TXY_Y,2,22,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000088.tif
RangeWithoutOverlay,TXY_Y,2,22,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000088.tif
IntensityWithoutOverlay,TXY_Y,2,23,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000089.tif
RangeWithoutOverlay,TXY_Y,2,23,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000089.tif
IntensityWithoutOverlay,TXY_Y,2,24,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000090.tif
RangeWithoutOverlay,TXY_Y,2,24,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000090.tif
IntensityWithoutOverlay,TXY_Y,2,25,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000091.tif
